Date,Open,High,Low,Close,Adj Close,Volume,company_name,RSI,buy_signal,sell_signal,signal
9/14/2023,339.1499939,340.8599854,336.5700073,338.7000122,337.3900146,20267000,MICROSOFT,63.59930118,0,0,0
9/15/2023,336.9200134,337.3999939,329.6499939,330.2200012,328.9428101,37666900,MICROSOFT,42.24141595,0,0,0
9/18/2023,327.7999878,330.3999939,326.3599854,329.0599976,327.7872925,16834200,MICROSOFT,33.25881644,0,0,0
9/19/2023,326.1700134,329.3900146,324.5100098,328.6499939,327.3788757,16505900,MICROSOFT,34.09743749,0,0,0
9/20/2023,329.5100098,329.5899963,320.5100098,320.769989,319.5293884,21436500,MICROSOFT,37.58205342,0,0,0
9/21/2023,319.2600098,325.3500061,315,319.5299988,318.2941895,35529500,MICROSOFT,34.94406798,0,0,0
9/22/2023,321.3200073,321.4500122,316.1499939,317.0100098,315.7839355,21447900,MICROSOFT,38.62767724,0,0,0
9/25/2023,316.5899963,317.6700134,315,317.5400085,316.3118896,17836000,MICROSOFT,40.5393135,0,0,0
9/26/2023,315.1300049,315.8800049,310.019989,312.1400146,310.9327698,26297600,MICROSOFT,36.76405539,0,0,0
9/27/2023,312.2999878,314.2999878,309.6900024,312.7900085,311.5802307,19410100,MICROSOFT,48.11713638,0,0,0
9/28/2023,310.9899902,315.480011,309.4500122,313.6400146,312.4269714,19683600,MICROSOFT,41.37223717,0,0,0
9/29/2023,317.75,319.4700012,314.980011,315.75,314.5288086,24140300,MICROSOFT,44.73276443,0,0,0
10/2/2023,316.2799988,321.8900146,315.1799927,321.7999878,320.5553894,20570000,MICROSOFT,45.45455091,0,0,0
10/3/2023,320.8299866,321.3900146,311.2099915,313.3900146,312.1779175,21033500,MICROSOFT,49.58164593,0,0,0
10/4/2023,314.0299988,320.0400085,314,318.9599915,317.7263794,20720100,MICROSOFT,51.19089658,0,0,0
10/5/2023,319.0899963,319.980011,314.8999939,319.3599854,318.1248169,16965600,MICROSOFT,59.52873719,0,0,0
10/6/2023,316.5499878,329.1900024,316.2999878,327.2600098,325.9942932,25645500,MICROSOFT,72.03751088,0,-1,0
10/9/2023,324.75,330.2999878,323.1799927,329.8200073,328.5443726,19891200,MICROSOFT,68.2552409,0,0,0
10/10/2023,330.9599915,331.1000061,327.6700134,328.3900146,327.1199341,20557100,MICROSOFT,62.54404447,0,0,0
10/11/2023,331.2099915,332.8200073,329.1400146,332.4200134,331.1343384,20063200,MICROSOFT,72.31207135,0,-1,0
10/12/2023,330.5700073,333.6300049,328.7200012,331.1600037,329.8792114,19313100,MICROSOFT,70.51228324,0,-1,0
10/13/2023,332.3800049,333.8299866,326.3599854,327.730011,326.4624939,21072400,MICROSOFT,63.21443232,0,0,0
10/16/2023,331.0499878,336.1400146,330.6000061,332.6400146,331.3534851,22158000,MICROSOFT,65.9937007,0,0,0
10/17/2023,329.5899963,333.4599915,327.4100037,332.0599976,330.7756958,18338500,MICROSOFT,53.70110315,0,0,0
10/18/2023,332.4899902,335.5899963,328.2999878,330.1099854,328.833252,23153600,MICROSOFT,61.21949822,0,0,0
10/19/2023,332.1499939,336.8800049,330.9100037,331.3200073,330.0385742,25052100,MICROSOFT,59.7468198,0,0,0
10/20/2023,331.7200012,331.9200134,325.4500122,326.6700134,325.4065857,25012600,MICROSOFT,35.84445297,0,0,0
10/23/2023,325.4700012,332.730011,324.3900146,329.3200073,328.0463257,24374700,MICROSOFT,27.11763156,1,0,1
10/24/2023,331.2999878,331.8399963,327.6000061,330.5299988,329.2516479,31153600,MICROSOFT,25.36718813,1,0,1
10/25/2023,345.019989,346.2000122,337.6199951,340.6700134,339.3524475,55053800,MICROSOFT,30.63633096,0,0,0
10/26/2023,340.5400085,341.6300049,326.9400024,327.8900146,326.6218567,37828500,MICROSOFT,24.90819273,1,0,1
10/27/2023,330.4299927,336.7200012,328.3999939,329.8099976,328.5344238,29856500,MICROSOFT,31.0375599,0,0,0
10/30/2023,333.4100037,339.4500122,331.8299866,337.3099976,336.0054016,22828100,MICROSOFT,34.77465627,0,0,0
10/31/2023,338.8500061,339,334.6900024,338.1099854,336.8023071,20265300,MICROSOFT,34.53542262,0,0,0
11/1/2023,339.7900085,347.4200134,339.6499939,346.0700073,344.7315369,28158800,MICROSOFT,35.67565103,0,0,0
11/2/2023,347.2399902,348.8299866,344.769989,348.3200073,346.9728394,24348100,MICROSOFT,39.42837622,0,0,0
11/3/2023,349.6300049,354.3900146,347.3299866,352.7999878,351.4354858,23624000,MICROSOFT,41.35950442,0,0,0
11/6/2023,353.4500122,357.5400085,353.3500061,356.5299988,355.151062,23828300,MICROSOFT,42.21398559,0,0,0
11/7/2023,359.3999939,362.4599915,357.6300049,360.5299988,359.1356201,25833900,MICROSOFT,44.29250908,0,0,0
11/8/2023,361.6799927,363.8699951,360.5499878,363.2000122,361.7952881,26767800,MICROSOFT,39.82411639,0,0,0
11/9/2023,362.2999878,364.7900085,360.3599854,360.6900024,359.2949829,24847300,MICROSOFT,71.70468517,0,-1,0
11/10/2023,361.4899902,370.1000061,361.0700073,369.6700134,368.2402649,28042100,MICROSOFT,86.14530135,0,-1,0
11/13/2023,368.2200012,368.4700012,365.8999939,366.6799927,365.2618103,19986500,MICROSOFT,87.90886603,0,-1,0
11/14/2023,371.0100098,371.9500122,367.3500061,370.269989,368.8379211,27683900,MICROSOFT,78.56054611,0,-1,0
11/15/2023,371.2799988,373.1300049,367.1099854,369.6700134,368.9876709,26860100,MICROSOFT,81.36187207,0,-1,0
11/16/2023,370.9599915,376.3500061,370.1799927,376.1700134,375.4756775,27182300,MICROSOFT,79.78441059,0,-1,0
11/17/2023,373.6099854,374.3699951,367,369.8500061,369.1673279,40157000,MICROSOFT,80.20068479,0,-1,0
11/20/2023,371.2200012,378.8699951,371,377.4400024,376.7433167,52465100,MICROSOFT,70.71243717,0,-1,0
11/21/2023,375.6700134,376.2200012,371.1199951,373.0700073,372.3813782,28423100,MICROSOFT,68.29272212,0,0,0
11/22/2023,378,379.7900085,374.9700012,377.8500061,377.1525574,23345300,MICROSOFT,67.61044926,0,0,0
11/24/2023,377.3299866,377.9700012,375.1400146,377.4299927,376.7333069,10176600,MICROSOFT,58.25447877,0,0,0
11/27/2023,376.7799988,380.6400146,376.2000122,378.6099854,377.9111328,22179200,MICROSOFT,55.59457665,0,0,0
11/28/2023,378.3500061,383,378.1600037,382.7000122,381.9936218,20453100,MICROSOFT,47.96257894,0,0,0
11/29/2023,383.7600098,384.2999878,377.4400024,378.8500061,378.1506958,28963400,MICROSOFT,42.63338758,0,0,0
11/30/2023,378.4899902,380.0899963,375.4700012,378.9100037,378.2106018,30554400,MICROSOFT,42.54902826,0,0,0
12/1/2023,376.7600098,378.1600037,371.3099976,374.5100098,373.8187256,33020400,MICROSOFT,37.87354552,0,0,0
12/4/2023,369.1000061,369.519989,362.8999939,369.1400146,368.4586487,32063300,MICROSOFT,49.50219007,0,0,0
12/5/2023,366.4500122,373.0799866,365.6199951,372.519989,371.8323669,23065000,MICROSOFT,49.40380924,0,0,0
12/6/2023,373.5400085,374.1799927,368.0299988,368.7999878,368.1192322,21182100,MICROSOFT,43.8361374,0,0,0
12/7/2023,368.230011,371.4500122,366.3200073,370.9500122,370.2652893,23118900,MICROSOFT,40.59668329,0,0,0
12/8/2023,369.2000122,374.4599915,368.230011,374.230011,373.5392456,20144800,MICROSOFT,38.09522666,0,0,0
12/11/2023,368.480011,371.6000061,366.1000061,371.2999878,370.614624,27708800,MICROSOFT,39.70466282,0,0,0
